Date,City,State,Lat,Lon,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc,Year
12/14/1994,Albany,New York,42.6512,-73.755,,C,0,1,,Wikp,"Ralph J. Tortorici, 26, a military veteran and psychology major at the State University of New York at Albany held hostage a large lecture hall from 9:10 a.m. until 11:30 a.m. Tortorici, armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when Tortorici had his gun taken away by Jason McEnaney, a 19-year-old student. McEnaney was shot in the leg, groin, and abdomen in the exchange. Tortorici suffered from a well-document history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center, and ultimately committed suicide in 1999 in prison while serving a 15 1/2 year sentence.[275][276][277][278]",1994
1/5/1995,Washington DC,District of Columbia,38.9071923,-77.0368707,urban,HS,1,,,Pah,,1995
1/10/1995,Palm Beach Gardens,Florida,26.8233946,-80.1386547,suburban,HS,0,,,Pah,,1995
1/12/1995,Seattle,Washington,47.6062095,-122.3320708,urban,HS,0,,TRUE,Pah,,1995
1/23/1995,Redlands,California,34.0555693,-117.1825381,urban,MS,1,,,Pah,,1995
1/26/1995,Chapel Hill,North Carolina,35.9131996,-79.0558445,urban,C,2,,,Pah,,1995
2/2/1995,Long Beach,California,33.7700504,-118.1937395,urban,HS,1,,,Pah,,1995
8/29/1995,Laredo,Texas,27.5305671,-99.4803241,urban,MS,1,,,Pah,,1995
9/12/1995,Memphis,Tennessee,35.1495343,-90.0489801,urban,HS,1,,,Pah,,1995
9/14/1995,Olathe,Kansas,38.8813958,-94.8191285,urban,HS,2,,,Pah,,1995
9/29/1995,Tavares,Florida,28.8041579,-81.725632,urban,MS,1,,TRUE,Pah,,1995
10/12/1995,Blackville,South Carolina,33.3579297,-81.2706606,rural,HS,1,,TRUE,Pah,,1995
11/15/1995,Lynnville,Tennessee,35.3767432,-87.0061171,rural,HS,2,,TRUE,Pah,,1995
11/28/1995,queens,New York,40.7282239,-73.7948516,urban,HS,1,,,Pah,,1995
1/19/1996,District of Columbia,District of Columbia,38.9071923,-77.0368707,urban,MS,1,,,Pah,,1996
1/19/1996,Washington,D.C.,38.9071923,-77.0368707,,HS,1,0,,Wikp,"Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. 16-year-old shooter, Darrick Evans, was sentenced to 41 years to life in prison.[235]",1996
1/26/1996,memphis,Tennessee,35.1495343,-90.0489801,urban,HS,1,,,Pah,,1996
2/2/1996,Moses Lake,Washington,47.1301417,-119.2780771,suburban,MS,3,,TRUE,Pah,,1996
2/8/1996,Palo Alto,California,37.4418834,-122.1430195,urban,HS,1,,,Pah,,1996
2/29/1996,St. Louis,Missouri,38.6270025,-90.1994042,,HS,1,1,,Wikp,"30-year-old Mark Boyd, hired 23-year-old Malik Nettles, to kill 15-year-old Kyunia Taylor, as she rode on a school bus bound for Beaumont High School. Taylor was pregnant with a child fathered by Boyd, a baby girl was delivered by emergency caesarean section, but died 23 days later. The bus driver was also shot, he survived.[285]",1996
3/11/1996,New London,North Carolina,35.4431965,-80.2192225,rural,HS,1,,,Pah,,1996
4/11/1996,Talledega,Alabama,33.4359416,-86.1058048,suburban,HS,1,,,Pah,,1996
6/4/1996,Hemet,California,33.7475203,-116.9719684,urban,HS,1,,,Pah,,1996
8/15/1996,San Diego,California,32.715738,-117.1610838,urban,C,3,,TRUE,Pah,,1996
8/26/1996,San Antonio,Texas,29.4241219,-98.4936282,urban,C,1,,,Pah,,1996
9/17/1996,State College,Pennsylvania,40.7933949,-77.8600012,urban,C,1,,TRUE,Pah,,1996
9/25/1996,Scottdale,Georgia,33.7898269,-84.2640889,suburban,HS,1,,TRUE,Pah,,1996
10/2/1996,Philadelphia,Pennsylvania,39.9525839,-75.1652215,urban,ES,2,,,Pah,,1996
10/4/1996,Playa del Rey,California,33.9564194,-118.4422317,suburban,HS,1,,,Pah,,1996
10/9/1996,Sherwood,Arkansas,34.8151,-92.2243,,-,1,0,,Wikp,"14-year-old Willis Ward Johnson, killed 20-year-old James Earl Routt, as they rode a school bus.[291]",1996
10/13/1996,St. Louis,Missouri,38.6270025,-90.1994042,urban,HS,1,,,Pah,,1996
10/16/1996,West Lafayette,Indiana,40.4258686,-86.9080655,suburban,C,1,,,Pah,,1996
11/27/1996,Sacramento,California,38.5815719,-121.4943996,urban,HS,1,,,Pah,,1996
1/11/1997,Brooklyn,New York,40.6781784,-73.9441579,urban,HS,1,,,Pah,,1997
1/27/1997,West Palm Beach,Florida,26.7153424,-80.0533746,urban,MS,1,,TRUE,Pah,,1997
1/31/1997,Tulsa,Oklahoma,36.1539816,-95.992775,urban,,1,,,Pah,,1997
2/19/1997,Bethel,Alaska,60.7922222,-161.7558334,suburban,HS,2,,TRUE,Pah,,1997
2/20/1997,Jacksonville,Florida,30.3321838,-81.655651,urban,HS,1,,,Pah,,1997
3/18/1997,Detroit,Michigan,42.331427,-83.0457538,urban,HS,1,,,Pah,,1997
10/1/1997,Pearl,Mississippi,32.2745912,-90.1320311,suburban,HS,3,,TRUE,Pah,,1997
10/14/1997,Garland,Texas,32.912624,-96.6388833,urban,HS,1,,,Pah,,1997
10/15/1997,Palmetto,Florida,27.5214,-82.5723,,MS,0,1,,Wikp,"After an argument between them the day before, 13-year-old Brandon Hartsoe took a .38 revolver from his mother's dresser drawer and shot 13-year-old Lincoln Middle School classmate, Trent Murray, in the back causing serious injury, then continued to fire three more shots in the general area of other students.[297] Hartsoe was sentenced in 1998 to serve until his 18th birthday. His probation was set to end in October 2009.[298]",1997
10/22/1997,Norwalk,California,33.9022367,-118.081733,urban,HS,2,,,Pah,,1997
11/13/1997,Sacramento,California,38.5815719,-121.4943996,urban,ES,1,,,Pah,,1997
12/1/1997,West Paducah,Kentucky,37.0831102,-88.7442202,suburban,HS,3,,TRUE,Pah,,1997
12/15/1997,Stamps,Arkansas,33.3654024,-93.4951758,rural,HS,2,,TRUE,Pah,,1997
2/25/1998,Reed City,Michigan,43.8750174,-85.5100498,rural,HS,1,,,Pah,,1998
3/1/1998,Philadelphia,Pennsylvania,39.9525839,-75.1652215,,C,1,3,,Wikp,"At around 4:15 p.m., gunfire broke out as a crowd streamed from the Palestra after a high school championship basketball game near the University of Pennsylvania. A 22-year-old man was shot in the back and killed, and a student working at the fine arts building was shot in the leg.[300]",1998
3/24/1998,Jonesboro,Arkansas,35.8422967,-90.704279,urban,MS,5,,,Pah,,1998
3/24/1998,Craighead County,Arkansas,35.9572012,-94.4159616,,MS,5,10,,Wikp,"Westside Middle School shootings: 13-year-old Mitchell Johnson, and 11-year-old Andrew Golden, killed a teacher and four students, and wounded ten others, as Westside Middle School emptied during a fire alarm intentionally set off by Golden.[301][302]",1998
3/25/1998,Coldwater,Michigan,41.9403263,-85.0005215,suburban,HS,1,,,Pah,,1998
3/30/1998,Chapel Hill,North Carolina,35.9131996,-79.0558445,urban,MS,0,,,Pah,,1998
4/24/1998,Edinboro,Pennsylvania,41.8742225,-80.1317236,suburban,HS,1,,TRUE,Pah,,1998
